Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_9474.npy,0.41344595,0.03981238,0.7870795,True
tile_9125.npy,0.40999162,0.04289771,0.77708554,True
tile_10496.npy,0.40884042,0.040241215,0.7774396,True
tile_8753.npy,0.4064825,0.036337085,0.7766279,True
tile_9969.npy,0.40328288,0.03265723,0.77390856,True
tile_8752.npy,0.40184182,0.03668308,0.76700056,True
tile_13111.npy,0.40133843,0.037337735,0.76533914,True
tile_5638.npy,0.40120077,0.037459254,0.7649423,True
tile_8431.npy,0.4000979,0.033385158,0.76681066,True
tile_11715.npy,0.399352,0.03094581,0.7677582,True
tile_8056.npy,0.39828977,0.030554522,0.766025,True
tile_9470.npy,0.39734936,0.030099062,0.7645997,True
tile_12063.npy,0.3967186,0.035745196,0.757692,True
tile_10826.npy,0.39641276,0.030713681,0.76211184,True
tile_9096.npy,0.3948933,0.028078318,0.76170826,True
tile_6854.npy,0.39486495,0.028076965,0.76165295,True
tile_9780.npy,0.39434242,0.031089596,0.75759524,True
tile_9484.npy,0.3942802,0.029482236,0.75907815,True
tile_5300.npy,0.39421993,0.02613318,0.7623067,True
tile_6861.npy,0.39396232,0.032308012,0.75561666,True
tile_4776.npy,0.39381203,0.027621198,0.76000285,True
tile_8401.npy,0.39335188,0.030173715,0.75653005,True
tile_11725.npy,0.39319268,0.02821704,0.75816834,True
tile_8256.npy,0.39302108,0.031186042,0.7548561,True
tile_8779.npy,0.39253882,0.03261125,0.7524664,True
tile_9644.npy,0.392342,0.031569656,0.75311434,True
tile_12938.npy,0.39190468,0.031529132,0.75228024,True
tile_9128.npy,0.3916338,0.033918872,0.74934876,True
tile_4952.npy,0.39158323,0.026515951,0.7566505,True
tile_11712.npy,0.3910699,0.031933565,0.75020623,True
tile_5114.npy,0.3910156,0.033219125,0.7488121,True
tile_9625.npy,0.3908911,0.033314884,0.7484673,True
tile_8084.npy,0.39017123,0.031169433,0.74917305,True
tile_20780.npy,0.39011988,0.038470086,0.7417697,True
tile_9619.npy,0.38993356,0.02792225,0.75194484,True
tile_10303.npy,0.389835,0.03162244,0.7480476,True
tile_10145.npy,0.3897682,0.030553052,0.7489834,True
tile_8576.npy,0.38958183,0.029431146,0.7497325,True
tile_4957.npy,0.38941762,0.024789218,0.754046,True
tile_8083.npy,0.3890316,0.03336559,0.7446976,True
tile_7733.npy,0.38889772,0.03123999,0.74655545,True
tile_12926.npy,0.38889036,0.027695213,0.7500855,True
tile_8956.npy,0.38886076,0.03490937,0.74281216,True
tile_4770.npy,0.38880676,0.029502656,0.7481109,True
tile_8757.npy,0.38880256,0.031207627,0.7463975,True
tile_9267.npy,0.38846585,0.025674557,0.7512571,True
tile_8075.npy,0.3881435,0.032197777,0.74408925,True
tile_5631.npy,0.387966,0.029031351,0.7469007,True
tile_4771.npy,0.38789487,0.028000478,0.74778926,True
tile_10344.npy,0.3878909,0.03473613,0.74104565,True
tile_9445.npy,0.3874768,0.028661031,0.7462926,True
tile_8925.npy,0.3872291,0.030035954,0.74442226,True
tile_11723.npy,0.38714644,0.028729029,0.74556386,True
tile_5467.npy,0.3870012,0.030071225,0.7439312,True
tile_9431.npy,0.3868947,0.03372267,0.74006677,True
tile_11535.npy,0.38686728,0.032117724,0.74161685,True
tile_6330.npy,0.38676938,0.02955316,0.7439856,True
