Filename,Anomaly_Score,MSE,SSIM_Delta,KLD,Is_Anomaly
tile_27039.npy,0.5442908,0.08805688,0.99973637,0.3941923,True
tile_20780.npy,0.53868544,0.072348684,0.9997556,2.633245,True
tile_13970.npy,0.53750974,0.070058875,0.9998008,2.5799448,True
tile_7923.npy,0.53748226,0.06494537,0.99983406,5.0925684,True
tile_9125.npy,0.5365887,0.06807943,0.99981403,2.6420014,True
tile_6518.npy,0.5359325,0.06511579,0.9997986,3.4753206,True
tile_8574.npy,0.53582865,0.065485835,0.99944305,3.3641908,True
tile_24506.npy,0.5352011,0.069857195,0.99974847,0.3982464,True
tile_10496.npy,0.5350431,0.06483843,0.9998788,2.6844637,True
tile_9632.npy,0.5348308,0.06444086,0.9997305,2.7451212,True
tile_5983.npy,0.53426486,0.06364963,0.9998138,2.5331583,True
tile_9431.npy,0.5340181,0.0630254,0.99980724,2.6017787,True
tile_13111.npy,0.5339815,0.0630107,0.99977916,2.586543,True
tile_5638.npy,0.53396624,0.062990665,0.99976254,2.5896606,True
tile_10173.npy,0.5338885,0.06262336,0.99985456,2.6495576,True
tile_11195.npy,0.53337336,0.061548825,0.99976015,2.71889,True
tile_9474.npy,0.53320765,0.061233126,0.99980277,2.6896935,True
tile_5990.npy,0.5329771,0.060966223,0.9997489,2.619574,True
tile_9971.npy,0.53297603,0.06097297,0.99980044,2.5893652,True
tile_13492.npy,0.53287566,0.06035675,0.9995798,2.907384,True
tile_10326.npy,0.5327826,0.06042342,0.9997995,2.6711547,True
tile_8956.npy,0.5327527,0.060244016,0.99981284,2.7243047,True
tile_26501.npy,0.53252774,0.06458375,0.9996585,0.40662697,True
tile_10344.npy,0.5324681,0.060002837,0.9997555,2.5889404,True
tile_13620.npy,0.5324164,0.05981807,0.99972314,2.6458175,True
tile_8083.npy,0.5324138,0.059844363,0.9997835,2.5998085,True
tile_11382.npy,0.5322299,0.059269175,0.9997328,2.728919,True
tile_8075.npy,0.5321523,0.058942564,0.9997376,2.8122344,True
tile_8752.npy,0.5321328,0.058956146,0.99984497,2.732218,True
tile_12063.npy,0.5320424,0.0587892,0.9998236,2.7359846,True
tile_9128.npy,0.53196985,0.058968414,0.9997746,2.598349,True
tile_9625.npy,0.5319334,0.058692217,0.9998293,2.672683,True
tile_7203.npy,0.5318397,0.058670223,0.99981,2.599606,True
tile_5114.npy,0.53178644,0.05852269,0.99979264,2.6287978,True
tile_9105.npy,0.5316734,0.058276415,0.99976075,2.6547925,True
tile_8435.npy,0.5314738,0.057980277,0.9998245,2.5714111,True
tile_9961.npy,0.5314211,0.057937868,0.9997857,2.559284,True
tile_10664.npy,0.5313674,0.057848167,0.9997837,2.551517,True
tile_8753.npy,0.53133583,0.057553474,0.99982435,2.6468976,True
tile_11377.npy,0.53133357,0.057614684,0.9998092,2.6216495,True
tile_13969.npy,0.5311664,0.05690644,0.99976087,2.8326874,True
tile_8399.npy,0.5311349,0.055452816,0.99977595,3.5205731,True
tile_5816.npy,0.5310502,0.056919448,0.99983275,2.6740847,True
tile_11712.npy,0.53103256,0.057024986,0.9997943,2.622874,True
tile_9969.npy,0.5310227,0.05650443,0.9997214,2.9098148,True
tile_14547.npy,0.53096336,0.05621303,0.99972326,2.9951968,True
tile_12057.npy,0.5309394,0.056691587,0.99973905,2.7241213,True
tile_7394.npy,0.53092736,0.05696199,0.9997727,2.5600195,True
tile_8228.npy,0.53080755,0.05669015,0.9998485,2.5382383,True
tile_6519.npy,0.5307818,0.05596466,0.9997369,2.9310176,True
tile_5629.npy,0.5307453,0.056336835,0.99983,2.661866,True
tile_5459.npy,0.53065485,0.05625099,0.99978256,2.6380417,True
tile_11535.npy,0.530651,0.056117944,0.99975884,2.712583,True
tile_6861.npy,0.5306288,0.05609755,0.99971604,2.7220116,True
tile_11366.npy,0.5306242,0.056319095,0.99977905,2.5751374,True
tile_9477.npy,0.5306013,0.056214683,0.99976975,2.6091511,True
tile_8431.npy,0.5305919,0.056031913,0.9998706,2.6406884,True
tile_7211.npy,0.5305901,0.056347914,0.9997593,2.536463,True
tile_10303.npy,0.53055596,0.056061327,0.99967307,2.6887522,True
tile_9619.npy,0.53049827,0.055360638,0.9997123,2.9618235,True
tile_6340.npy,0.5304182,0.055873588,0.9997764,2.5932038,True
tile_8779.npy,0.5303498,0.055707105,0.99979216,2.6001587,True
tile_6527.npy,0.5302972,0.05575145,0.9997472,2.5478895,True
tile_10838.npy,0.5302956,0.055663437,0.9997844,2.571702,True
tile_7733.npy,0.53022575,0.055390093,0.9997526,2.6544163,True
tile_8568.npy,0.5302094,0.05528341,0.9998025,2.6664448,True
tile_6692.npy,0.530137,0.05506611,0.99971515,2.7463899,True
tile_10145.npy,0.5300588,0.055111002,0.99981993,2.5933614,True
tile_9615.npy,0.530042,0.055250987,0.9997292,2.5519338,True
tile_8084.npy,0.5299634,0.05472798,0.99984926,2.6747339,True
tile_8401.npy,0.5299176,0.05454106,0.99968255,2.8057475,True
tile_8096.npy,0.5297896,0.054759145,0.99979436,2.5128543,True
tile_8256.npy,0.5297734,0.05451594,0.9997596,2.6356673,True
tile_9094.npy,0.52976453,0.054254286,0.999796,2.7394214,True
tile_15568.npy,0.52975476,0.05327452,0.9995678,3.333585,True
tile_11551.npy,0.52972925,0.05439584,0.99975616,2.6532323,True
tile_20579.npy,0.5297152,0.05384031,0.9998395,2.8752642,True
tile_19020.npy,0.52967244,0.05405567,0.9997357,2.77677,True
tile_15380.npy,0.529636,0.0541555,0.99985445,2.6310396,True
tile_9644.npy,0.5296199,0.054375637,0.9997105,2.576812,True
tile_5994.npy,0.5295634,0.054236434,0.99976885,2.5607834,True
tile_12938.npy,0.52951163,0.054057684,0.99976695,2.5992808,True
tile_8757.npy,0.5295105,0.054078035,0.9996869,2.628008,True
tile_9780.npy,0.5294687,0.05362564,0.999839,2.736375,True
tile_5467.npy,0.529456,0.053853646,0.99976,2.6491747,True
tile_15567.npy,0.5294237,0.053356983,0.9997341,2.8781817,True
tile_5117.npy,0.52937865,0.053866666,0.9997912,2.5496933,True
tile_11008.npy,0.5293558,0.053816073,0.9998014,2.5471044,True
tile_9977.npy,0.5293323,0.053713672,0.9998401,2.555413,True
tile_9271.npy,0.52930903,0.053438306,0.99978775,2.6960115,True
tile_8396.npy,0.52929217,0.053527944,0.9997363,2.6600237,True
tile_12055.npy,0.5292794,0.05351323,0.99976355,2.6410408,True
